nombre_canton,Lat,Long
guayaquil,-2.18333,-79.88333
babahoyo,-1.81666,-79.51666
quito,-0.216666,-78.5
lago agrio,0.083333,-76.8833
cuenca,-2.9,-79
daule,-1.86666,-79.983333
duran,-2.16666,-79.842
empalme,-1.041,-79.6333
milagro,-2.1341,-79.585666
samborondon,-2.18333,-79.883333
urdaneta,-1.56666,-79.47
manta,-0.95,-80.71
machala,-3.26667,-79.966667
gualaquiza,-3.3833,-78.583333
santa elena,-2.222666,-80.855
guaranda,-1.60333,-79
jipijapa,-1.316667,-80.56667
azogues,-2.73333,-78.83333
colta,-1.7,-78.75
ibarra,0.357666,-78.124666
calvas,-4.316667,-79.56667
loja,-3.98766667,-79.203
macara,-4.383333,-79.95
montecristi,-1.05,-80.66667
morona,-2.3,-78.116667
sucua,-2.466667,-78.16667
santo domingo,-0.2525,-79.169833
cuyabeno,-0.1166667,-75.83333
riobamba,-1.671333,-78.642333
santa rosa,-3.4513333,-79.957
Alfredo baquerizo moreno,-1.9166667,-79.5236666
naranjal,-2.670333,-79.609
pedro carbo,-1.816666,-80.2333
santa lucia,-1.7139548,-79.9900388
buena fe,-0.8718446,-79.4821932
ventanas,-1.446757,-79.4721628
portoviejo,-1.0484448,-80.3971
Santa isabel,-3.2770084,-79.3188429
chillanes,-2.0330449,-79.2345514
esmeraldas,0.963597,-79.6583248
salitre,-1.8472495,-79.848118
mocache,-1.184135,-79.5148618
quevedo,-1.0197,-79.5001179
chimbo,-1.6865535,-79.0340275
cumanda,-2.2044544,-79.1417667
huaquillas,-3.4784242,-80.2310635
balzar,-1.3645788,-79.9133491
playas,-2.6370313,-80.4055883
san jacinto de yaguachi,-2.0948105,-79.6948672
sucre,-0.6186619,-80.4273644
ruminahui,-0.6165566,-78.8078091
canar,-2.5583842,-78.956423
la mana,-0.9411949,-79.240359
arenillas,-3.5584816,-80.0936795
colimes,-1.5475107,-80.0160027
el empalme,-1.041,-79.6333
palora,-1.7041744,-77.9732753
la libertad,-2.2347644,-80.9157229
ambato,-1.2571434,-78.6566382
el tambo,-2.512451,-78.9342678
atahualpa,-2.3113212,-80.7777929
san cristobal,-0.9081793,-89.567113
isabela,-0.955852,-90.9708309
santacruz,-0.7386384,-90.3220798
catamayo,-3.9922739,-79.3709422
montalvo,-1.7873915,-79.2968917
vinces,-1.5210608,-79.8664947
bolivar,0.5009229,-77.9113913
santa ana,-2.4216781,-79.3482828
la troncal,-2.4216781,-79.3482828
tulcan,0.8147288,-77.7369834
mira,0.5502091,-78.0452442
taisha,-2.3401969,-77.4768296
pastaza,-1.4870382,-78.016272
pedro vicente maldonado,0.0815391,-79.0511798
gualaceo,-2.8915874,-78.7928725
cañar,-2.5583842,-78.956423
latacunga,-0.931556,-78.6146048
santa cruz,-0.7386384,-90.3220798
salcedo,-1.0397388,-78.5998822
yaguachi,-2.0948105,-79.6948672
el triunfo,-2.3301755,-79.4139862
otavalo,0.23333,-78.268919
jaramijo,-0.963855,-80.6123548
libertad,-2.2347644,-80.9157229
mera,-1.4607229,-78.1154323
rumiñahui,-0.6165566,-78.8078091
yantzaza,-3.8295285,-78.7677027
montufar,-2.4216781,-79.3482828
el guabo,-3.2406103,-79.845028
saquisili,-0.8295455,-78.6870434
chaguarpamba,-3.8781275,-79.6473599
